Month,Monthly Average Price
7/2010,0.065285714
8/2010,0.064548387
9/2010,0.061883333
10/2010,0.108774194
11/2010,0.259326667
12/2010,0.243806452
1/2011,0.369174194
2/2011,0.926392857
3/2011,0.855987097
4/2011,1.24787
5/2011,6.225158065
6/2011,18.06787667
7/2011,14.02353548
8/2011,9.982903226
9/2011,5.930853333
10/2011,3.6309
11/2011,2.681773333
12/2011,3.485409677
1/2012,6.116329032
2/2012,5.107586207
3/2012,4.902306452
4/2012,4.988116667
5/2012,5.071764516
6/2012,6.03904
7/2012,7.933509677
8/2012,10.93765161
9/2012,11.62335667
10/2012,11.7302
11/2012,11.48715667
12/2012,13.36046452
1/2013,15.60704516
2/2013,26.04308929
3/2013,57.50405161
4/2013,130.3409733
5/2013,119.9635452
6/2013,107.8225967
7/2013,85.65485806
8/2013,103.6357065
9/2013,123.4019767
10/2013,150.7243323
11/2013,535.0009267
12/2013,801.7366323
1/2014,857.1821968
2/2014,662.1651071
3/2014,591.210471
4/2014,460.22734
5/2014,484.8318194
6/2014,612.3359333
7/2014,615.5731484
8/2014,535.3476226
9/2014,442.93792
10/2014,361.5331774
11/2014,365.00915
12/2014,340.4966645
1/2015,248.2945935
2/2015,233.9022393
3/2015,274.3804778
